year,region,species_code,sex,sex_desc,iss,nss,nhl
1996,goa,10200,4,total_post,50.60197663964208,370,77
1996,goa,10200,12,female_male,135.07843394605848,370,77
1996,goa,10261,0,total_pre,35.50508082191994,230,20
1996,goa,10261,1,male,13.533924001545477,94,16
1996,goa,10261,2,female,23.466108456294783,136,17
1996,goa,10261,4,total_post,32.18957930951914,230,20
1996,goa,10261,12,female_male,36.03221318926021,230,20
1996,goa,10262,0,total_pre,54.4089215783176,268,29
1996,goa,10262,1,male,26.435550678701215,87,19
1996,goa,10262,2,female,31.386396817029958,181,29
1996,goa,10262,4,total_post,46.66914335124027,268,29
1996,goa,10262,12,female_male,49.31141863709843,268,29
1996,goa,20510,0,total_pre,209.13706566574143,708,108
1996,goa,20510,1,male,89.10795314109109,336,89
1996,goa,20510,2,female,122.84275203875032,372,88
1996,goa,20510,4,total_post,80.19834271224222,708,108
1996,goa,20510,12,female_male,197.12188396412034,708,108
1996,goa,21720,0,total_pre,41.5901320309088,771,87
1996,goa,21720,1,male,23.47408459942417,386,68
1996,goa,21720,2,female,44.144522591799195,385,77
1996,goa,21720,4,total_post,36.60216353443803,771,87
1996,goa,21720,12,female_male,61.37160456556209,771,87
1996,goa,21740,0,total_pre,63.99394777171368,1020,71
1996,goa,21740,1,male,66.58205551372205,485,65
1996,goa,21740,2,female,90.98261043696684,532,65
1996,goa,21740,4,total_post,24.325624755554905,1020,71
1996,goa,21740,12,female_male,152.50695706354895,1017,71
1996,goa,30050,0,total_pre,187.552063577071,701,44
1996,goa,30050,1,male,115.48302068195298,357,39
1996,goa,30050,2,female,129.53201472513194,343,36
1996,goa,30050,4,total_post,80.19615964759384,701,44
1996,goa,30050,12,female_male,247.1103763768517,700,44
1996,goa,30060,0,total_pre,205.67560688642354,641,16
1996,goa,30060,1,male,118.99395512445396,301,16
1996,goa,30060,2,female,106.53629324446966,340,15
1996,goa,30060,4,total_post,89.5527943933038,641,16
1996,goa,30060,12,female_male,228.98419115808224,641,16
1996,goa,30152,0,total_pre,166.11265599522733,554,46
1996,goa,30152,1,male,90.20491355784702,274,41
1996,goa,30152,2,female,95.38496699018633,280,31
1996,goa,30152,4,total_post,61.81151236546938,554,46
1996,goa,30152,12,female_male,180.96243966357474,554,46
1996,goa,30420,0,total_pre,144.205653346694,462,19
1996,goa,30420,1,male,77.42670263267706,248,18
